Entity,,Year,Annual CO₂ emissions (tonnes ),
Africa,,2017,1331739959,
Americas (other),,2017,2398632318,
Asia and Pacific (other),,2017,5071156099,
Australia,,2017,413092655,
Brazil,,2017,476066778,
Canada,,2017,572782586,
China,,2017,9838754028,
Europe (other),,2017,2149072913,
South Africa,,2017,456325216,
,,,,
,,,,
