Brand,2021,2020
Toyota,9615157,8692168
Honda,4136018,4384179
Nissan,4065014,4029185
Hyundai,3890981,3744737
Kia,2777056,2606832
BMW,2521525,2324809
Mercedes-Benz,2054962,2164187
Audi,1680512,1692773
Mazda,1287548,1243005
Volkswagen,1086100,1146400
Tesla,936172,499535
Skoda,878200,1004800
Volvo,698693,661713
Seat,470500,426600
Porsche,301915,272162
